Original_Query,Query_Type,Annotated_Answer,Assignment_0_Model_Name,Assignment_0_Answer,Assignment_1_Model_Name,Assignment_1_Answer,Assignment_2_Model_Name,Assignment_2_Answer,Assignment_3_Model_Name,Assignment_3_Answer,Assignment_4_Model_Name,Assignment_4_Answer,Assignment_5_Model_Name,Assignment_5_Answer
"Question: Tay-Sachs is a disease caused by a recessive allele. Individuals with the genetic disorder usually do not survive more than a few years, and thus are not able to reproduce and pass on the gene. What would explain how this allele and its associated disease is preserved in the population?

A) Occasionally the gene will instead increase the fitness of the individual.
B) Tay-Sachs is asymptomatic in people who are homozygous recessive.
C) The recessive allele is actually beneficial in certain environments.
D) The disease increases the fertility of those who carry it.
E) Tay-Sachs is a dominant disease, so carriers will show symptoms.
F) Spontaneous mutation converts the dominant allele to the recessive form.
G) Heterozygous individuals will show no symptoms.
H) The gene for Tay-Sachs also provides resistance to another disease.
I) The disease can be cured, so individuals with the disorder are able to reproduce.
J) The allele is not preserved and is actually decreasing in frequency.

Above are multiple-choice questions (with answers) related to biology.
Simply respond with 'The answer is /option letter and value/.'",biology_mmlu,G,gemma2:27b,H,llama3-chatqa:8b,C,mistral:7b,G,qwen2.5:14b,G,phi4:14b,H,gemma3:27b,G
"Question: During the courtship of the common tern, the male presents afish to another tern. Account for this behavior and discuss whycourtship in general may benecesaryfor reproduction.

A) Courtship is only for sexual identification
B) Courtship is a behavior exclusive to the common tern and not observed in other species.
C) Courtship is a ritual that determines the healthiest environment for raising offspring.
D) Courtship serves as a means of communication, sexual identification, species identification, and in some cases, a necessary condition for egg production.
E) Courtship is a method used by the common tern to establish territory rather than attract a mate.
F) Courtship serves no purpose in animal behavior
G) Courtship is purely a competitive display to deter other potential mates.
H) Courtship is only necessary for egg production
I) Courtship behavior is a learned behavior from observing other species and not innate.
J) Courtship is only necessary to stimulate physical development in the adult terns.

Above are multiple-choice questions (with answers) related to biology.
Simply respond with 'The answer is /option letter and value/.'",biology_mmlu,D,gemma2:27b,D,llama3-chatqa:8b,D,mistral:7b,D,qwen2.5:14b,D,phi4:14b,D,gemma3:27b,D
"Question: An embryologist studying the development of a vertebrate organism from the zygote stage to fetus would be justified in drawing which of the following conclusions?

A) The development of a vertebrate organism from the zygote stage to fetus does not follow a consistent pattern.
B) The development of a vertebrate organism from the zygote stage to fetus displays a random pattern of evolutionary history.
C) The zygote stage of a vertebrate organism is identical to the fetus stage.
D) Ontogeny recapitulates phylogeny.
E) Early embryos display identical features of their class and order, but not their species.
F) An early human embryo has features in common with early fish and avian embryos.
G) Early embryos display identical features of their class, order, and species.
H) A human embryo displays features of adult fish and birds in the course of its development.
I) An early human embryo has features that are identical to adult fish and avian features.
J) A vertebrate organism develops identical features of its class, order, and species only during the fetus stage.

Above are multiple-choice questions (with answers) related to biology.
Simply respond with 'The answer is /option letter and value/.'",biology_mmlu,D,gemma2:27b,F,llama3-chatqa:8b,D,mistral:7b,E,qwen2.5:14b,F,phi4:14b,F,gemma3:27b,D
"Question: What is meant by a gene pool, balanced polymorphism, and genetic load?

A) Gene pool is the total number of organisms in a population; balanced polymorphism is a genetic imbalance; genetic load is the genetic weight of an organism.
B) Gene pool refers to the physical pool where genes are stored; balanced polymorphism is the imbalance of allele frequencies; genetic load is the amount of genetic information carried by an organism.
C) Gene pool is the sum total of genes in a population; balanced polymorphism is when different forms of a genotype are maintained in equilibrium over time; genetic load is the reduction in average fitness due to presence of suboptimal forms.
D) Gene pool is the total genetic information in the gametes of a population; balanced polymorphism is the consistent occurrence of a single allele; genetic load is the genetic diversity within a species.
E) Gene pool is the collection of genes in a single organism; balanced polymorphism is the variation of a single gene; genetic load is the number of genes in an organism.
F) Gene pool refers to a single gene; balanced polymorphism refers to a dominance of one gene; genetic load refers to the genetic burden of an organism.
G) Gene pool is the total number of alleles in a population; balanced polymorphism is the maintenance of two or more alleles at a locus by natural selection; genetic load is the proportion of individuals in a population with genetic defects.
H) Gene pool is the diversity of genes in a population; balanced polymorphism is the dominance of a single gene; genetic load is the genetic capacity of an organism.
I) Gene pool is the sum of all genetic variations in a closed environment; balanced polymorphism is the equal representation of all alleles in a population; genetic load is the accumulated genetic mutations in a population.
J) Gene pool is the set of all genetic traits in a biological community; balanced polymorphism is when one allele is favored over others; genetic load is the genetic contribution of an organism to its offspring.

Above are multiple-choice questions (with answers) related to biology.
Simply respond with 'The answer is /option letter and value/.'",biology_mmlu,C,gemma2:27b,C,llama3-chatqa:8b,C,mistral:7b,G,qwen2.5:14b,C,phi4:14b,C,gemma3:27b,C
"Question: What are some of the cues used by animal in migrating?

A) Animals use the sound of the ocean waves for directional cues in migration.
B) Animals rely solely on memory from previous migrations.
C) Animals migrate based on the patterns of the stars alone.
D) Animals follow changes in air pressure for migration.
E) Animals use temperature changes for migration.
F) Animals use changes in water salinity for migration.
G) Animals use taste for migration.
H) Animals use the position of the moon exclusively for migration.
I) Animals use visual landmarks for migration.
J) Animals use cues such as scent, celestial clues, and the earth's magnetic field for migration.

Above are multiple-choice questions (with answers) related to biology.
Simply respond with 'The answer is /option letter and value/.'",biology_mmlu,J,gemma2:27b,J,llama3-chatqa:8b,J,mistral:7b,J,qwen2.5:14b,J,phi4:14b,J,gemma3:27b,J
"Question: What prevents the stomach from being digested by itsown secretions?

A) The stomach has a high permeability to hydrogen ions
B) The presence of beneficial bacteria that neutralize stomach acid
C) The stomach lining is replaced every month
D) The stomach lining secretes digestive enzymes only when food is present
E) The production of bile in the stomach neutralizes the digestive acids
F) A thick layer of muscle tissue that is resistant to digestive enzymes and acids
G) The stomach is protected by a layer of fat
H) The mucus layer, the permeability of the membranes and the continual replacement of the cells comprising the lining all help protect the stomach from being digested by its own secretions.
I) The stomach secretes a special hormone that prevents digestion of its own tissues
J) The stomach contents are too acidic for the enzymes to function properly

Above are multiple-choice questions (with answers) related to biology.
Simply respond with 'The answer is /option letter and value/.'",biology_mmlu,H,gemma2:27b,H,llama3-chatqa:8b,H,mistral:7b,H,qwen2.5:14b,H,phi4:14b,H,gemma3:27b,H
"Question: In what way does Lamarck's theory of acquired characteristicsnot agree with present evidence?

A) Acquired characteristics are inherited through a blending of parental traits
B) Acquired characteristics are inherited but do not influence evolution
C) Acquired characteristics are inherited randomly, regardless of their use
D) Acquired characteristics cannot be inherited
E) Acquired characteristics are inherited based on use and disuse
F) Acquired characteristics are only inherited if they occur in the germ cells
G) Acquired characteristics are passed on to the next generation through environmental influence
H) Acquired characteristics are always inherited
I) Acquired characteristics do not exist
J) Acquired characteristics can be inherited

Above are multiple-choice questions (with answers) related to biology.
Simply respond with 'The answer is /option letter and value/.'",biology_mmlu,D,gemma2:27b,D,llama3-chatqa:8b,E,mistral:7b,D,qwen2.5:14b,D,phi4:14b,D,gemma3:27b,D
"Question: The thymus gland is a two-lobed, glandular-appearing structure located in the upper region of the chest just behind the sternum. What are the two principal functions that have been attributed to this gland?

A) Synthesizes vitamin D and aids in the digestion of fats
B) Secretes bile to help in digestion and stores nutrients
C) Acts as the primary site for the synthesis of blood platelets and filters out old red blood cells
D) Produces white blood cells and regulates body temperature
E) Produces antibodies for immune response and generates heat to maintain body temperature
F) Controls the body's metabolism and regulates calcium levels
G) Regulates the body's salt and water balance and helps control blood volume
H) Provides the initial supply of lymphocytes for other lymphoid areas and releases the hormone thymosin which stimulates the differentiation of incipient plasma cells in the lymphoid tissues
I) Produces hormones that regulate growth and development, and controls blood pressure
J) Produces insulin and glucagon to regulate blood sugar levels

Above are multiple-choice questions (with answers) related to biology.
Simply respond with 'The answer is /option letter and value/.'",biology_mmlu,H,gemma2:27b,H,llama3-chatqa:8b,H,mistral:7b,H,qwen2.5:14b,H,phi4:14b,H,gemma3:27b,H
"Question: Albinism, a condition characterized by a lack of pigment in the skin, eyes, and hair, occurs in certain populations with a frequency of 0.00005. Assuming albinism is determined by a single recessive gene, a (a) what is the probability of an albino resulting from a cross between an albino and an individual of a normal phenotype? (b) what proportion of albinos havephenotypicallynormal parents?

A) 0.9%, 0.70
B) 1.0%, 0.75
C) 0.7%, 1.2
D) 1.2%, 0.85
E) 0.7%, 0.99
F) 0.5%, 1.1
G) 0.25%, 0.99
H) 0.5%, 0.90
I) 0.8%, 0.95
J) 1.5%, 0.80

Above are multiple-choice questions (with answers) related to biology.
Simply respond with 'The answer is /option letter and value/.'",biology_mmlu,E,gemma2:27b,B,llama3-chatqa:8b,G,mistral:7b,G,qwen2.5:14b,B,phi4:14b,A,gemma3:27b,D
"Question: Why does milk \textquotedblleftspoil\textquotedblright when kept in a refrigerator?

A) Enzymatic reactions with oxygen
B) Lactose crystallization
C) Loss of refrigeration power over time
D) mesophiles
E) Natural separation of milk components without bacterial influence
F) Acidification from exposure to light
G) psychrophilic bacteria
H) thermophiles
I) chemical reactions
J) Contamination from other food items

Above are multiple-choice questions (with answers) related to biology.
Simply respond with 'The answer is /option letter and value/.'",biology_mmlu,G,gemma2:27b,G,llama3-chatqa:8b,A,mistral:7b,C,qwen2.5:14b,D,phi4:14b,G,gemma3:27b,G
