assignment,struct_id,Query Type,Total_Cost,Total_Energy,Total_Latency,Quality_of_Answer,New_QoA_Score
"(4, 0, 5)",6,Art,1.61888e-05,18.5257391,16.1139054,0.352678932249546,0.3526789277791977
"(3,)",0,Art,5.2019999999999995e-06,3.2531868000000004,4.658407200000001,0.3181632563471794,0.3181631973013282
"(2,)",0,Art,3.862e-06,4.8100000000000005,6.4133173,0.2988153368234634,0.2988153636455536
"(4, 2, 5)",6,Art,1.6778e-05,16.168365299999998,12.3139339,0.36215011142194264,0.3621501173824072
"(1,)",0,Art,2.156e-06,4.1363840000000005,5.88,0.36425625309348103,0.3642561960965395
"(1,)",0,Geography,1.881e-06,3.608784,5.13,0.507219934463501,0.5072199270129204
"(3,)",0,Geography,2.9999999999999997e-06,2.4030742,3.4410868,0.45399228781461715,0.4539922833442688
"(2, 4, 3)",5,Geography,1.961e-05,17.5312044,19.4360195,0.4487721428275108,0.44877213463187215
"(4, 4, 5)",6,Geography,1.3780999999999999e-05,12.197904599999998,6.728454500000001,0.5779673665761947,0.5779673844575882
"(4, 4)",1,Geography,9.623e-06,8.5185093,6.117321500000001,0.5837043941020965,0.5837044209241867
"(1,)",0,History,2.1835e-06,4.189144000000001,5.955,0.4200258754193783,0.42002589255571365
"(3, 4)",1,History,1.2998999999999999e-05,10.3447044,9.6793022,0.43202232718467715,0.4320223405957222
"(3,)",0,History,4.71e-06,3.1862488,4.5625552,0.3867546901106834,0.38675472922623155
"(4,)",0,History,4.1730000000000005e-06,3.5375591999999996,2.5403960000000003,0.48674703724682333,0.4867470521479845
"(0,)",0,History,2.065e-06,5.8413718,8.991044599999999,0.30886073932051655,0.22284367308020592
"(2, 2, 5)",6,Music,1.9186e-05,19.854256799999998,14.4066644,0.4072071097791195,0.40720711648464203
"(0, 1, 5)",6,Music,1.5022499999999997e-05,20.228034700000002,16.8215943,0.40524217709898946,0.40524218417704105
"(1,)",0,Music,2.2990000000000004e-06,4.410736,6.2700000000000005,0.4047954872250557,0.4047955021262169
"(3, 4, 4)",5,Music,2.5259000000000003e-05,19.5986695,16.635355699999998,0.322769945114851,0.322769957780838
"(1, 0, 5)",7,Music,1.4163899999999998e-05,21.3550805,25.6932913,0.26450052317231887,0.2645005214959383
"(3, 4)",1,Other,1.3799e-05,10.4965333,9.7835555,0.29161044694483274,0.2916104421019554
"(1,)",0,Other,2.1340000000000002e-06,4.094176,5.82,0.2890215054154396,0.28902149945497513
"(1, 4)",1,Other,8.5155e-06,9.759519399999999,9.777066999999999,0.28101673573255537,0.28101678341627123
"(3,)",0,Other,5.831999999999999e-06,3.3736752,4.8309408000000005,0.24230225197970862,0.2423022583127022
"(0, 4)",1,Other,1.2206000000000001e-05,13.812541999999999,14.416612599999999,0.24050211608409877,0.24050213098526002
"(4, 3, 1)",5,Politics,1.5302e-05,18.5423384,23.5646814,0.46588754951953887,0.46588757634162903
"(1, 3, 5)",6,Politics,2.0996e-05,19.1780324,14.6224872,0.4189080737531185,0.41890809237957
"(1, 0, 3)",5,Politics,1.2981500000000001e-05,20.8103102,30.743298,0.3523473277688026,0.3523473501205444
"(4, 0)",1,Politics,7.3074e-06,12.999749599999998,16.7004274,0.3352808818221092,0.33528087958693503
"(0,)",0,Politics,2.0496e-06,6.1220071,9.422998699999999,0.3240617051720619,0.3240617275238037
"(1,)",0,Science and technology,2.2165000000000003e-06,4.2524560000000005,6.045,0.4321605697274208,0.4321605622768402
"(3,)",0,Science and technology,4.488e-06,2.9787410000000003,4.265414,0.44510076493024825,0.3918294236063957
"(4,)",0,Science and technology,3.912e-06,3.2956035,2.3666425,0.4440185084939003,0.4440185040235519
"(0,)",0,Science and technology,1.9784e-06,5.5295548000000005,8.511095599999999,0.35148476734757417,0.3514847602695227
"(4, 4)",1,Science and technology,1.0783e-05,9.3862125,6.7404375000000005,0.4899100840091705,0.48991006016731264
"(0, 3, 5)",7,Sports,2.99454e-05,28.105254100000003,32.0843275,0.47595897912979124,0.4234010562300682
"(3,)",0,Sports,6.096e-06,3.6481209999999997,5.223934000000001,0.3939600426703691,0.3939600922167301
"(2,)",0,Sports,5.296e-06,6.0,7.999980000000001,0.35750837996602053,0.357508385181427
"(0,)",0,Sports,2.5606e-06,6.8703679,10.5748763,0.38268559798598284,0.3287679761648178
"(4, 1, 0)",5,Sports,1.12072e-05,20.384430700000003,27.394820099999997,0.2928593665361404,0.2928593412041664
"(4, 4, 5)",6,TV shows,1.5996e-05,13.641295500000002,7.501358000000001,0.4316687297075987,0.39631905369460585
"(1,)",0,TV shows,2.101e-06,4.030864,5.73,0.3952820062637329,0.39528197050094604
"(3, 3, 5)",6,TV shows,2.5543000000000003e-05,17.184702,12.6845054,0.33577858433127405,0.33577856943011286
"(4,)",0,TV shows,3.894e-06,3.2205138,2.3127190000000004,0.43598781935870645,0.4040364306420088
"(0,)",0,TV shows,2.3924e-06,6.23634,9.598980000000001,0.24335324168205258,0.2433532863855362
"(1,)",0,Video games,2.3925e-06,4.590120000000001,6.525,0.42321369498968125,0.42321371734142305
"(3,)",0,Video games,5.478e-06,3.4606946,4.9555484000000005,0.38257834091782567,0.38257834166288374
"(4, 1, 5)",7,Video games,1.6810499999999998e-05,19.0937793,19.389771500000002,0.5357916362583637,0.5357916984707117
"(4, 2, 5)",7,Video games,2.0443e-05,21.0994417,20.694986800000002,0.5549000203609467,0.5549000531435013
"(4,)",0,Video games,4.329e-06,3.6627087000000005,2.6302685,0.5913544982671738,0.5913544908165932
"(0, 1, 5)",7,biology_mmlu,5.87513e-05,89.311041,109.10400039999999,1.0,1.0
"(1, 0, 3)",5,biology_mmlu,4.6617000000000004e-05,79.7636709,117.31152669999999,1.0,1.0
"(1, 0, 4)",5,biology_mmlu,5.24422e-05,83.8006268,104.83495799999999,1.0,1.0
"(1, 3)",1,biology_mmlu,3.74895e-05,48.175334199999995,68.6961268,1.0,1.0
"(1, 3, 4)",5,biology_mmlu,6.69255e-05,73.57225,86.56816979999999,1.0,1.0
"(2, 1, 3)",5,business_mmlu,5.1743500000000004e-05,70.58454040000001,98.2265919,0.7096409201622009,0.6
"(2, 4, 0)",5,business_mmlu,5.3502400000000005e-05,72.5263195,86.9780567,0.7017865449190139,0.6
"(2, 4, 4)",5,business_mmlu,6.6969e-05,67.19857529999999,63.7230677,0.6950592383742332,0.6
"(2, 4, 5)",6,business_mmlu,6.548599999999999e-05,66.2003516,50.478466000000004,0.7179897412657738,0.6
"(3, 0, 5)",7,business_mmlu,4.43716e-05,58.40255019999999,70.45384800000001,0.5628122419118882,0.4
"(0, 0)",1,chemistry_mmlu,1.63926e-05,57.5406304,88.5665888,0.499259278178215,0.3
"(0, 2, 4)",5,chemistry_mmlu,9.598420000000001e-05,113.5197676,132.3978523,0.49944129288196565,0.3
"(2, 0)",1,chemistry_mmlu,3.7903e-05,70.9747363,102.3724065,0.48084158450365067,0.3
"(0, 4)",1,chemistry_mmlu,3.36572e-05,49.820571799999996,57.3517154,0.4913653016090393,0.3
"(1,)",0,chemistry_mmlu,1.3695e-05,26.27448,37.35,0.5425170093774796,0.3
"(3,)",0,computer science_mmlu,1.851e-05,17.939384,25.688336000000003,0.5910521622747182,0.5
"(4, 1, 0)",5,computer science_mmlu,5.20352e-05,87.5164104,112.1555216,0.5711420979350805,0.5
"(4,)",0,computer science_mmlu,2.5897000000000003e-05,22.7938956,16.368778,0.5685097750276327,0.5
"(3, 1, 5)",7,computer science_mmlu,6.65865e-05,77.8972583,90.8667063,0.5216257330030203,0.4
"(0, 1, 5)",7,computer science_mmlu,5.8592e-05,91.5921748,112.66098,0.41644076369702815,0.3
"(1, 2, 5)",6,health_mmlu,5.58825e-05,72.80869709999999,52.524593200000005,0.7646215051412583,0.7
"(2, 0, 5)",7,health_mmlu,5.33876e-05,78.6318571,94.60940919999999,0.7654799342155456,0.7
"(4, 0, 5)",7,health_mmlu,5.66276e-05,70.8794208,72.8926966,0.7697483867406845,0.7
"(2,)",0,health_mmlu,1.6708e-05,24.42,32.5599186,0.8281931072473526,0.7
"(1, 3)",1,health_mmlu,2.9841999999999997e-05,41.2502836,58.817282399999996,0.7235676437616348,0.6
"(2, 3)",1,history_mmlu,5.73e-05,72.4567086,99.610431,0.5484041884541512,0.5
"(2, 4)",1,history_mmlu,7.077099999999999e-05,81.36107589999999,84.7518952,0.5599812768399716,0.5
"(2, 3, 5)",7,history_mmlu,0.00010398399999998001,114.58209509999999,129.95993400000003,0.5484041884541512,0.5
"(3, 1, 5)",7,history_mmlu,9.670249999999e-05,115.26170549999999,135.44390470000002,0.5494734775274992,0.5
"(2,)",0,history_mmlu,2.8491999999999998e-05,43.18,57.573189400000004,0.6437243714928627,0.5
"(2, 3, 3)",5,other_mmlu,4.3408e-05,48.1843982,67.110119,0.8240265492349863,0.6
"(3, 0, 3)",5,other_mmlu,3.35184e-05,48.124136500000006,71.2535087,0.7199766967445612,0.6
"(3, 0, 5)",7,other_mmlu,4.23034e-05,54.970422,66.1261088,0.7226064782589674,0.6
"(3, 1, 4)",5,other_mmlu,4.4044e-05,51.8835543,61.5511315,0.7199766967445612,0.6
"(3, 2, 4)",5,other_mmlu,4.5947e-05,50.753801599999996,58.087053000000004,0.7199766967445612,0.6
"(2, 2, 5)",7,philosophy_mmlu,5.7357999999999995e-05,70.662436,79.228359,0.6076037637889385,0.5
"(2, 3)",1,philosophy_mmlu,3.8678e-05,44.4136168,61.0902091,0.6326720766723156,0.5
"(2, 3, 5)",7,philosophy_mmlu,6.079e-05,64.202018,71.9203981,0.6071511305868625,0.5
"(4,)",0,philosophy_mmlu,2.0505e-05,18.0549012,12.965606,0.5941138528287411,0.5
