Query Type,struct_id,Total_Cost,Total_Energy,Total_Latency,Quality_of_Answer,New_QoA_Score
Art,3.8,1.122676e-05,13.40723036,13.913902239999999,0.3629082383960485,0.3629082039371133
Geography,2.2,7.7996e-06,7.130190839999999,5.91560874,0.5208182278275489,0.5208182343840599
History,3.0,1.223e-05,11.55047922,13.49541632,0.3915923292934894,0.39159235917031765
Music,4.8,1.2907039999999998e-05,16.808217120000002,17.874747680000002,0.3428488736972212,0.3428488840907812
Other,0.6,8.4973e-06,8.30728918,8.92563518,0.268890611231327,0.2688906228542328
Politics,3.8,1.338308e-05,15.19206954,15.60191722,0.474600255228579,0.4746002447977662
Science and technology,1.0,7.049979999999999e-06,6.78035644,7.25555456,0.4208666963875293,0.39955814920365806
Sports,1.4,9.2416e-06,9.811116600000002,12.43662356,0.4089435238391161,0.38764844223856926
TV shows,3.6,1.2407999999999999e-05,10.57206032,7.888220480000001,0.4194413203001022,0.3989111563563347
Video games,4.2,1.2466960000000002e-05,14.013451040000001,15.000632540000002,0.47134549826383587,0.4713455242663622
biology_mmlu,5.8,6.4507239999998e-05,81.91489156,101.78617729999999,0.9349851417541505,0.9
business_mmlu,5.2,5.048279999999999e-05,58.05611596,58.78599556,0.6576424622535706,0.52
chemistry_mmlu,1.6,2.9354719999999997e-05,52.86167126,77.08948230000001,0.499199932217598,0.3
computer science_mmlu,3.4,5.222254e-05,62.532642120000006,75.97671851999999,0.5780951362103224,0.48
health_mmlu,4.2,4.2041339999999996e-05,51.65731096,54.679659040000004,0.7020206499099731,0.6
history_mmlu,5.2,7.8231099999988e-05,105.06747148,130.80941566,0.5652164451032877,0.5
other_mmlu,3.0,2.9280840000000002e-05,33.35633374,38.3702025,0.6961396829038858,0.5599999999999999
philosophy_mmlu,3.8,3.99119e-05,46.290273400000004,54.7743498,0.61443165615201,0.5
physics_mmlu,2.8,3.111964e-05,43.64180775999999,51.92942168,0.4134436316415668,0.26
psychology_mmlu,6.4,6.454709999999799e-05,62.351054239999996,50.58307158,0.7819815015792846,0.74
