Query Type,struct_id,assignment,Mean_New_QoA_Score,Mean_Total_Cost,Mean_Total_Energy,Mean_Total_Latency
Art,6,"(4, 4, 5)",0.4405288234353065,1.5688e-05,13.758101700000001,7.501358000000001
Geography,5,"(1, 3, 4)",0.6248436629772186,1.5416e-05,14.901781499999998,16.7932211
History,0,"(4,)",0.49387190155684946,4.189e-06,3.5459024999999995,2.5463875000000002
Music,0,"(4,)",0.4799861922860146,4.243e-06,3.5959623,2.5823365
Other,1,"(4, 4)",0.3819105625152588,1.1798000000000001e-05,10.028646599999998,7.201783000000001
Politics,6,"(4, 4, 5)",0.627216286957264,1.8373000000000002e-05,16.0525092,8.6457345
Science and technology,1,"(4, 3)",0.4970662146806717,1.0104e-05,8.4966861,9.814342900000002
Sports,6,"(4, 4, 5)",0.6667628824710846,1.7352e-05,15.0346266,8.160423
TV shows,6,"(2, 4, 5)",0.4762585613876581,1.7013e-05,15.8602014,11.7738504
Video games,0,"(4,)",0.5748732835054398,4.377e-06,3.6877386000000003,2.648243
biology_mmlu,1,"(1, 4)",1.0,4.3418e-05,52.7826369,57.2322195
business_mmlu,0,"(2,)",0.8,1.9934e-05,24.97,33.2932501
chemistry_mmlu,5,"(0, 0, 3)",0.5,3.5351999999999996e-05,75.1939961,113.6926417
computer science_mmlu,1,"(1, 3)",0.7,3.5909e-05,48.473532,69.117304
health_mmlu,1,"(0, 3)",0.6,2.49208e-05,41.901932099999996,62.606688299999995
history_mmlu,1,"(2, 4)",0.7,7.141699999998e-05,81.8630316,85.27231450000001
other_mmlu,0,"(4,)",0.6,1.7208e-05,15.2515524,10.952462
philosophy_mmlu,0,"(3,)",0.5,1.5222000000000001e-05,14.371588599999999,20.5794244
physics_mmlu,0,"(2,)",0.4,2.1844e-05,27.860000000000003,37.1465738
psychology_mmlu,6,"(1, 3, 5)",0.9,5.542199999999e-05,62.1132705,50.0090185
