struct_id,assignment,Mean_New_QoA_Score,Mean_Total_Cost,Mean_Total_Energy,Mean_Total_Latency
6,"(3, 0, 5)",0.9,5.10246e-05,63.160614599999995,53.7445968
6,"(3, 3, 5)",0.9,5.996099999999e-05,54.50638359999999,39.0834962
6,"(2, 3, 5)",0.8,6.014199999999e-05,63.1255197,48.7118886
6,"(3, 1, 5)",0.8,5.5595000000000006e-05,62.51718939999999,50.506907999999996
6,"(3, 2, 5)",0.8,5.8939999999990007e-05,62.121756700000006,47.6150162
6,"(1, 4, 5)",0.7,6.1295e-05,66.6064288,50.746568
6,"(1, 3, 5)",0.6954762235283851,3.6760999999995e-05,39.7428788,31.6472233
6,"(1, 1, 5)",0.6340485230088234,3.1238499999999996e-05,41.99596045,30.255719750000004
1,"(4, 1)",0.6305012861887614,3.0973166666666663e-05,40.1921317,45.852660166666666
6,"(0, 3, 5)",0.5989598102867604,3.51855e-05,41.8183672,35.798647599999995
