Query Type,struct_id,Total_Cost,Total_Energy,Total_Latency,Quality_of_Answer,New_QoA_Score
Art,659.0,3.8272600000000004e-05,43.21931824000001,52.40040562,0.17045873725786803,0.15415722463279963
Geography,674.2,2.5884619999999997e-05,36.6925956,44.678729020000006,0.1805521764233708,0.18055221658200024
History,409.0,2.012728e-05,32.44993158,38.038058160000006,0.19378478258848186,0.17982318732887506
Music,407.6,1.805252e-05,29.834364,39.318385740000004,0.15700979918241498,0.15700983284041287
Other,659.0,3.1305039999999995e-05,42.568298119999994,53.640796980000005,0.20509017672389743,0.20509017534554003
Politics,434.2,2.6390000000000003e-05,38.056708900000004,45.63645368,0.22406440712511536,0.22406443737447262
Science and technology,659.0,2.5004680000000003e-05,39.28097446,50.81966934,0.20214223062619566,0.19092205954715608
Sports,662.2,3.009148e-05,40.23425784,47.158158300000004,0.19915418453514572,0.19915421646088363
TV shows,659.0,3.379028e-05,40.18134392,49.281418640000005,0.20333635106682774,0.18440239336341618
Video games,535.8,2.89866e-05,38.56837452,47.55675642,0.2087580835819244,0.20875808075070382
biology_mmlu,332.6,7.8400699999996e-05,131.69764124,162.9643235,0.9392118179798127,0.9
business_mmlu,143.8,4.873886e-05,76.73298428000001,92.52332072,0.47989897325634956,0.3
chemistry_mmlu,706.2,7.3366359999998e-05,136.50834984,160.79799096,0.42879746079444886,0.2
computer science_mmlu,163.8,5.901599999999999e-05,111.77211612,140.46630506,0.4668618746846914,0.32
health_mmlu,307.4,5.0595879999998e-05,98.28422534,105.49148915999999,0.5882070034742355,0.45999999999999996
history_mmlu,466.2,0.000103731399999988,190.17132582,211.51747114,0.4514810376241803,0.4
other_mmlu,272.6,4.374136e-05,70.15106908,91.91796664,0.6322057035565376,0.48
philosophy_mmlu,420.6,5.886878e-05,108.49705845999999,128.69206094,0.45060574293136596,0.3
physics_mmlu,284.0,5.952463999999999e-05,92.96909298,109.08693248,0.27055172752588985,0.08
psychology_mmlu,321.8,4.280144e-05,77.57539326,92.190774,0.6377562706917523,0.54
