Query Type,struct_id,assignment,Mean_New_QoA_Score,Mean_Total_Cost,Mean_Total_Energy,Mean_Total_Latency
Art,0,"(3,)",0.3146334124729037,5.562e-06,3.3535938,4.8021852
Geography,1,"(0, 0)",0.25340522974729535,4.761e-06,14.8840648,22.9095656
History,0,"(4,)",0.49387190155684946,4.189e-06,3.5459024999999995,2.5463875000000002
Music,0,"(4,)",0.4799861922860146,4.243e-06,3.5959623,2.5823365
Other,0,"(4,)",0.3789892107248306,4.172e-06,3.4457829,2.4744895000000002
Politics,1,"(0, 0)",0.2602302491664886,5.02e-06,16.318423000000003,25.117331
Science and technology,0,"(3,)",0.40300971567630767,4.607999999999999e-06,3.01221,4.31334
Sports,0,"(3,)",0.39559154696762555,6.743999999999999e-06,3.8288536,5.4827344
TV shows,0,"(4,)",0.38554349243640895,3.894e-06,3.2205138,2.3127190000000004
Video games,0,"(4,)",0.5748732835054398,4.377e-06,3.6877386000000003,2.648243
biology_mmlu,0,"(0,)",0.7,8.1416e-06,27.751713000000002,42.715461
business_mmlu,0,"(3,)",0.4,1.3476e-05,13.186786000000001,18.882844
computer science_mmlu,0,"(0,)",0.06666666666666667,8.2024e-06,28.524326233333333,43.904667966666665
health_mmlu,0,"(0,)",0.1,6.6418e-06,23.718879800000003,36.5081206
history_mmlu,0,"(0,)",0.15,1.20716e-05,43.228230100000005,66.5369297
other_mmlu,0,"(0,)",0.25,5.5747e-06,19.33785095,29.764837149999998
philosophy_mmlu,0,"(3,)",0.5,1.5222000000000001e-05,14.371588599999999,20.5794244
physics_mmlu,0,"(0,)",0.2,6.627e-06,23.490214,36.156158
psychology_mmlu,0,"(3,)",0.9,1.6547999999999998e-05,14.9472554,21.4037516
