assignment,struct_id,Query Type,Total_Cost,Total_Energy,Total_Latency,Quality_of_Answer,New_QoA_Score
"(4, 2, 2, 3, 5)",836,Art,2.6145999999999997e-05,26.3845176,15.7663422,0.5457696706056595,0.5457696557044983
"(2, 4)",1,Art,1.1672e-05,11.6316256,11.2382457,0.43858207315206527,0.4385820791125298
"(4, 1, 4, 4, 5)",836,Art,2.5072499999999998e-05,24.3323216,12.210677,0.4214414179325104,0.4214413657784462
"(4, 4, 2, 4, 5)",802,Art,3.1891e-05,30.819087200000002,20.9983618,0.41818052977323533,0.41818052977323533
"(4,)",0,Art,3.7750000000000003e-06,3.2789168999999996,2.3546595,0.41620954424142836,0.4162095107138157
"(4,)",0,Geography,3.2879999999999997e-06,2.8534086,2.049093,0.5838881760835648,0.583888190984726
"(4, 4)",1,Geography,9.623e-06,8.5185093,6.117321500000001,0.5837043941020965,0.5837044209241867
"(1,)",0,Geography,1.881e-06,3.608784,5.13,0.507219934463501,0.5072199270129204
"(3, 2, 2, 1, 5)",963,Geography,3.1398e-05,37.5510589,33.531741,0.5062011480331421,0.5062012083828449
"(3,)",0,Geography,2.9999999999999997e-06,2.4030742,3.4410868,0.45399228781461715,0.4539922833442688
"(4, 4, 4, 3, 5)",836,History,2.7138e-05,23.9300458,15.797459600000002,0.5043923575431108,0.5043923456221819
"(4, 3, 5, 4)",43,History,2.5770000000000002e-05,22.8572507,20.1460807,0.49411319084465505,0.4941131878644228
"(4, 3, 3, 4, 5)",963,History,3.1503e-05,28.415158299999995,20.3833549,0.4850609410554171,0.48506093211472034
"(3, 4, 4, 2, 5)",817,History,4.2819e-05,38.6783559,30.9802683,0.45577978640794753,0.4557798087596893
"(4, 4, 3, 3, 5)",840,History,2.9657e-05,23.671840699999997,12.037525400000002,0.45278202295303344,0.45278205499053004
"(4, 4)",1,Music,1.1713e-05,10.170482699999999,7.303638500000001,0.5018154591321945,0.5018154323101044
"(4,)",0,Music,4.243e-06,3.5959623,2.5823365,0.49676012992858887,0.4967601247131824
"(3, 4, 1, 5)",52,Music,2.2617e-05,20.434913799999997,12.6120496,0.4638292476534843,0.4638292402029037
"(2, 4, 1, 3, 5)",838,Music,3.09225e-05,32.920157800000005,26.1583799,0.45489726960659027,0.4548972800374031
"(1, 4)",1,Music,1.08565e-05,12.0529622,12.121741,0.4499512199312449,0.44995124228298666
"(4, 4, 1, 2, 5)",811,Other,3.3097000000000005e-05,36.0328621,26.029281200000003,0.3094422221183777,0.30944221317768095
"(2, 1, 5, 2, 5)",723,Other,3.6535499999999996e-05,41.0943734,45.1589613,0.3037794671952724,0.3037794932723045
"(4, 4, 5, 1)",43,Other,2.39795e-05,25.0940804,23.535422,0.2780048608779907,0.27800489515066146
"(0, 2, 1, 5, 2)",689,Other,3.10984e-05,42.7732073,54.147466099999995,0.3122937878593802,0.26079363822937013
"(2, 1, 5, 2)",43,Other,2.5093000000000002e-05,31.0355784,37.1863914,0.25743088871240616,0.2574308805167675
"(4, 1, 2, 3, 5)",836,Politics,2.9116499999999998e-05,30.3679514,17.8606652,0.6420080035924911,0.6420079879462719
"(4, 3)",1,Politics,1.0763e-05,9.7010162,10.9850052,0.6380036190152168,0.6380035981535912
"(4,)",0,Politics,4.731e-06,4.0548437999999996,2.9118690000000003,0.634956194460392,0.6349561735987663
"(1, 4, 5)",6,Politics,1.60755e-05,16.8719552,12.738992999999999,0.6149920508265495,0.6149920299649239
"(1, 1, 4, 4, 5)",836,Politics,2.7847e-05,29.944765999999998,18.5269095,0.562491674721241,0.5624916300177574
"(4, 4)",1,Science and technology,1.0783e-05,9.3862125,6.7404375000000005,0.4899100840091705,0.48991006016731264
"(1, 2, 4, 5)",52,Science and technology,1.88435e-05,20.1417968,12.236621,0.48713858872652055,0.4871385470032692
"(1, 2, 2, 5)",52,Science and technology,2.01085e-05,22.7600276,13.534372100000002,0.4844997934997082,0.48263597227633
"(4, 3, 2, 5)",52,Science and technology,2.2128e-05,19.615223699999998,12.2657437,0.4693985849618912,0.4693985849618912
"(4, 3, 5, 2, 5)",730,Science and technology,3.4186e-05,31.909756800000004,28.0538762,0.4424416087567806,0.44244157839566467
"(4,)",0,Sports,4.356e-06,3.6877386000000003,2.6482430000000003,0.6481034845113754,0.648103553056717
"(4, 3)",1,Sports,1.0052e-05,8.9875787,10.2433151,0.6276646882295609,0.6276647627353669
"(0, 3, 5, 3, 3)",658,Sports,3.6318e-05,32.9352889,35.465603699999996,0.5075290083885193,0.5075290270149708
"(4, 2, 3)",5,Sports,2.013e-05,19.6284766,24.5692644,0.506097874045372,0.5060979396104812
"(3, 1, 3, 0, 5)",836,Sports,2.77889e-05,30.873916700000002,26.5328373,0.42893272209912536,0.4289327383041382
"(4, 1, 5, 2, 5)",667,TV shows,3.220150000000001e-05,34.8363771,35.6680409,0.5347325086593628,0.49938282668590545
"(2, 2, 5)",6,TV shows,1.7207e-05,17.4251959,12.4092888,0.5174316540360451,0.4734266400337219
"(4, 1, 5)",6,TV shows,1.4506e-05,14.7829263,11.21252,0.49848946183919907,0.46313975751399994
"(2, 1, 4, 5)",50,TV shows,2.3013500000000003e-05,23.2883889,16.8897502,0.45685779452323916,0.45685782879590986
"(2, 4, 4, 5)",50,TV shows,2.3658e-05,21.6724671,15.883510300000001,0.5041541796177625,0.45592411868274213
"(4, 1, 1, 5)",55,Video games,2.20285e-05,28.1851737,20.3820235,0.5556332871317864,0.5556333050131798
"(4, 2, 1, 5)",55,Video games,2.6654499999999997e-05,30.730769499999997,22.2215835,0.5490087062120438,0.5490087971091271
"(4, 4, 5, 1, 5)",667,Video games,3.3713999999999996e-05,33.8935678,30.069769,0.5408421710133553,0.540842205286026
"(4, 3, 2, 2, 5)",838,Video games,3.7319e-05,37.2958766,24.0472826,0.5235675647854805,0.5235676161944867
"(1, 4, 2, 5)",60,Video games,2.5002999999999998e-05,27.4515503,22.3857777,0.512374860048294,0.5123749196529388
"(0, 1, 5, 1, 1)",659,biology_mmlu,9.291320000000001e-05,154.8613251,202.2989987,1.0,1.0
"(1, 3)",1,biology_mmlu,3.74895e-05,48.175334199999995,68.6961268,1.0,1.0
"(1, 4)",1,biology_mmlu,4.2544000000000005e-05,51.9144361,56.32669550000001,1.0,1.0
"(2, 1, 5, 1, 1)",659,biology_mmlu,0.000107732,158.70224439999998,200.8723743,1.0,1.0
"(3, 4, 5)",6,biology_mmlu,7.990499999999999e-05,69.7562255,47.246954900000006,1.0,1.0
"(2, 0)",1,business_mmlu,2.82636e-05,54.12779930000001,78.1338449,0.9199738368391991,0.9
"(2, 0, 0)",5,business_mmlu,3.4937e-05,77.73234620000001,114.46598420000001,0.9185573101043701,0.9
"(2, 0, 5, 0, 0)",659,business_mmlu,7.044699999999001e-05,127.1248122,168.7652316,0.8794632911682129,0.8
"(2, 0, 5)",7,business_mmlu,6.02414e-05,83.6457176,100.8477455,0.8087071418762207,0.7
"(2, 0, 5, 0)",43,business_mmlu,6.622e-05,106.35072419999999,135.9988394,0.8087071418762207,0.7
"(2, 3, 3)",5,chemistry_mmlu,7.0612e-05,76.91492860000001,106.8090052,0.528992161154747,0.4
"(2, 2, 0, 0, 5)",847,chemistry_mmlu,0.0001091126,178.84177219999998,126.9069527,0.5254268392920494,0.4
"(2, 3, 5, 0, 0)",659,chemistry_mmlu,0.00010123860000000001,146.6555581,189.721956,0.5690413117408752,0.4
"(4, 3, 2, 0, 5)",839,chemistry_mmlu,0.00011769559999999,139.5687148,94.8670192,0.577740016579628,0.4
"(0, 3, 5, 0)",42,chemistry_mmlu,6.23314e-05,99.1194045,104.58351969999998,0.5025146663188934,0.3
