Query Type,struct_id,Total_Cost,Total_Energy,Total_Latency,Quality_of_Answer,New_QoA_Score
Art,539.8,1.895896e-05,24.64210646,17.77904398,0.34279934987425803,0.3427993415668607
Geography,407.4,2.659746e-05,30.02490758,34.71517404,0.3375412705540657,0.3375413003191352
History,272.2,2.025168e-05,22.39888432,26.892491640000003,0.3623853331059217,0.3623853453993798
Music,158.2,2.0310599999999998e-05,23.00491302,24.73909746,0.2371471735462546,0.23714719627052547
Other,284.6,1.868382e-05,20.634735159999998,22.62643976,0.22602511987090107,0.2260251392424107
Politics,189.6,2.5036200000000003e-05,22.955116859999997,15.70315224,0.4709993115440011,0.47099931124597794
Science and technology,597.8,2.855296e-05,27.845288439999997,22.569187040000003,0.4576085583865643,0.4256457394361496
Sports,270.0,1.4245419999999999e-05,17.58346112,19.34992424,0.3468500513583421,0.33606655478477476
TV shows,638.4,2.967506e-05,30.118931859999996,22.26560938,0.32813820652663706,0.31180506482720377
Video games,300.6,2.09242e-05,21.451349320000002,21.250201280000002,0.40670013710856434,0.4004451632499695
biology_mmlu,487.2,9.2996919999996e-05,124.71102971999998,131.66891800000002,1.0,1.0
business_mmlu,475.4,7.8932359999996e-05,105.91025376,99.66041742,0.6361447420716286,0.48
chemistry_mmlu,333.6,5.6325899999998e-05,94.43400646,106.26562449999999,0.421838895380497,0.2
computer science_mmlu,308.6,8.7973779999996e-05,113.88837468000001,131.13087968,0.589960558116436,0.5
health_mmlu,275.6,4.7032279999998e-05,78.20106348,97.64179766,0.7068125921487808,0.6
history_mmlu,604.8,0.000142025699999974,200.73006121999998,238.19061046000002,0.5673326454311609,0.5
other_mmlu,443.0,5.0752200000000005e-05,89.46308986,98.39411684,0.7311157070845365,0.6
philosophy_mmlu,149.8,6.5517839999994e-05,82.6251163,94.18335254000002,0.6028041045367718,0.5
physics_mmlu,569.2,7.6602759999998e-05,92.9640437,86.03897658,0.4405901953950524,0.3
psychology_mmlu,292.8,7.585471999999399e-05,84.35840374,81.596968,0.8283531659841538,0.8
