assignment,struct_id,Query Type,Total_Cost,Total_Energy,Total_Latency,Quality_of_Answer,New_QoA_Score
"(1,)",0,Art,2.156e-06,4.1363840000000005,5.88,0.36425625309348103,0.3642561960965395
"(4, 2, 5)",6,Art,1.6778e-05,16.168365299999998,12.3139339,0.36215011142194264,0.3621501173824072
"(0, 2, 5)",7,Art,2.48304e-05,29.601328000000002,33.7766594,0.34239822551608085,0.342398215085268
"(3, 4)",1,Art,1.3083e-05,10.2861097,9.5894417,0.3370231375098228,0.3370230719447136
"(2, 4, 5)",7,Art,2.262e-05,21.0041061,18.1656888,0.36596272438764565,0.36596273370087146
"(4, 0)",1,Geography,5.5422e-06,10.4077233,13.669850299999998,0.3465431228280067,0.2706078998744488
"(4, 1, 0)",5,Geography,9.678100000000001e-06,18.210638499999998,24.8407075,0.2847527328878641,0.2624889433383942
"(1, 0, 0)",5,Geography,7.1922e-06,20.8831296,31.721171199999997,0.2603018298745155,0.26030188128352166
"(3, 2)",1,Geography,1.0344e-05,11.3369502,15.366094800000003,0.3221534177660942,0.2535402201116085
"(4, 0, 2)",5,Geography,1.25534e-05,19.3626721,25.5977799,0.2795806296169757,0.2489790603518486
"(1, 1)",1,History,6.369000000000001e-06,12.219216,17.369999999999997,0.3187807835638523,0.31878081560134885
"(4, 2, 3)",5,History,1.8185e-05,18.7143541,23.3713173,0.3980225279927253,0.31282901018857956
"(0, 1, 1)",5,History,1.15008e-05,23.9451256,34.7530072,0.3034769132733345,0.3034769095480442
"(3, 0, 1)",5,History,1.2306199999999997e-05,20.9342574,30.884328,0.291347923874855,0.2913479462265968
"(3, 1, 1)",5,History,1.3226000000000002e-05,19.4852306,27.732140400000002,0.28372904956340783,0.28372905403375626
"(4, 4, 3)",5,Music,1.8432999999999998e-05,15.6629851,15.228195099999999,0.4221881404519081,0.4221881166100502
"(1, 3, 4)",5,Music,1.5775e-05,16.5830601,18.9870217,0.4192818522453308,0.4192818209528923
"(2, 2, 5)",6,Music,1.9186e-05,19.854256799999998,14.4066644,0.4072071097791195,0.40720711648464203
"(1, 0, 5)",6,Music,1.4547299999999999e-05,19.4213521,15.935947899999999,0.38506474345922465,0.38506479039788244
"(2, 2, 5)",7,Music,2.3901e-05,26.1417208,28.8192829,0.36411984041333195,0.3641198232769966
"(2, 1, 5)",6,Other,1.5702e-05,17.3221485,12.998451900000001,0.3488889053463936,0.3488889098167419
"(1, 2, 5)",7,Other,1.9124e-05,21.774520000000003,24.0611302,0.3414071083068847,0.3414071202278137
"(3, 4, 5)",6,Other,1.8006e-05,14.4211833,10.1718071,0.3309787169098854,0.33097873628139496
"(3, 2, 5)",7,Other,2.3394e-05,22.221231,24.323738400000003,0.3296570137143135,0.32965698540210725
"(4, 0, 5)",6,Other,1.67732e-05,18.4728462,15.583859499999999,0.300125178694725,0.3001251995563507
"(4, 4, 5)",7,Politics,2.16e-05,19.0310673,13.666611500000002,0.5589286252856255,0.5589285865426064
"(1, 3, 5)",7,Politics,1.8493e-05,18.9940799,21.244166900000003,0.5454553201794624,0.5454553365707397
"(3, 1, 5)",6,Politics,2.1742499999999997e-05,19.099557400000002,14.3797986,0.535356567800045,0.5353565722703933
"(0, 2, 5)",7,Politics,2.30292e-05,28.8751036,33.2605284,0.46288222894072534,0.4628822386264801
"(1, 3, 5)",6,Politics,2.0996e-05,19.1780324,14.6224872,0.4189080737531185,0.41890809237957
"(0,)",0,Science and technology,1.9784e-06,5.5295548000000005,8.511095599999999,0.35148476734757417,0.3514847602695227
"(0, 3, 3)",5,Science and technology,2.0113999999999997e-05,18.9555686,27.752108600000003,0.39824037458747624,0.3449690468609333
"(0, 4, 3)",5,Science and technology,2.13938e-05,20.9484393,24.5022897,0.30914844330400226,0.3091484379023314
"(0, 3, 4)",5,Science and technology,2.4499e-05,22.9508168,27.166628000000003,0.35529123172163957,0.3020199157297611
"(1, 2, 3)",5,Science and technology,1.82095e-05,19.6131766,27.173933700000003,0.35505091715604065,0.28691173568367956
"(0, 3, 5)",7,Sports,2.99454e-05,28.105254100000003,32.0843275,0.47595897912979124,0.4234010562300682
"(4, 1, 5)",7,Sports,1.67085e-05,19.0098548,19.299814,0.3995984598994255,0.39959845691919327
"(0, 4, 3)",5,Sports,2.6269599999999997e-05,24.3762623,28.603979100000004,0.4327819779515266,0.38049263432621955
"(2, 2, 4)",5,Sports,2.4117000000000003e-05,25.5008238,28.4267142,0.367483888566494,0.3674839049577713
"(0, 1, 2)",5,Sports,1.48722e-05,26.123683000000007,37.1288647,0.3574367627501488,0.35743677616119385
"(3, 3, 5)",6,TV shows,2.5543000000000003e-05,17.184702,12.6845054,0.33577858433127405,0.33577856943011286
"(2, 2, 5)",7,TV shows,2.2168000000000002e-05,23.8144362,26.0344826,0.3267171517014503,0.32671715952456
"(3, 3, 5)",7,TV shows,2.9368e-05,21.008627999999998,22.626803600000002,0.32661042660474776,0.3266104072332382
"(2, 1, 1)",5,TV shows,1.3569e-05,22.21872,31.1233159,0.2725962720811367,0.272596269659698
"(4, 1, 5)",7,TV shows,1.6068000000000003e-05,18.1325765,18.4694175,0.42122414745390413,0.3604347098618746
"(3, 3, 3)",5,Video games,1.9481999999999997e-05,15.248476400000001,21.835085600000003,0.37225617989897725,0.3722562253475189
"(2, 3)",1,Video games,1.2037999999999999e-05,11.6454782,16.1471516,0.33994186967611306,0.3399419546127319
"(3, 3)",1,Video games,1.3511999999999999e-05,9.772948,13.994392,0.3373952373862267,0.33739530146121977
"(0, 3)",1,Video games,1.4255799999999998e-05,14.645199600000002,21.686881800000002,0.2908615045249462,0.2908615291118622
"(4, 2, 3)",5,Video games,2.0309e-05,19.7586466,24.7577108,0.2895833536982536,0.28958343118429186
"(0, 1, 5)",7,biology_mmlu,5.87513e-05,89.311041,109.10400039999999,1.0,1.0
"(0, 3, 4)",5,biology_mmlu,6.08024e-05,74.52919,91.4267778,1.0,1.0
"(0, 3, 2)",5,biology_mmlu,5.3477600000000004e-05,80.4892682,115.0811486,1.0,1.0
"(4,)",0,biology_mmlu,2.5214e-05,21.959565599999998,15.769628,1.0,1.0
"(4, 2)",1,biology_mmlu,4.6324e-05,53.04956560000001,57.222857700000006,1.0,1.0
"(2, 0, 2)",5,business_mmlu,5.25724e-05,84.50285640000001,118.82426209999998,0.7751971572637558,0.6
"(2, 4, 5)",6,business_mmlu,6.548599999999999e-05,66.2003516,50.478466000000004,0.7179897412657738,0.6
"(2, 2, 5)",7,business_mmlu,8.2338e-05,92.0148988,102.9965273,0.7351576775312424,0.6
"(3, 2, 2)",5,business_mmlu,6.0769999999999996e-05,74.61017360000001,100.78180970000001,0.8584582924842834,0.6
"(1, 2, 5)",6,business_mmlu,6.17845e-05,73.5553167,56.2881021,0.6627415955066681,0.5
"(0, 3, 5)",7,chemistry_mmlu,6.422899999999001e-05,81.6497033,98.5978691,0.45727895572781563,0.3
"(2, 3, 5)",6,chemistry_mmlu,6.5244e-05,70.84954450000001,55.019034,0.473675437271595,0.3
"(2, 1, 3)",5,chemistry_mmlu,5.00185e-05,73.39075,102.3009574,0.5162320643663406,0.3
"(1, 2, 5)",6,chemistry_mmlu,7.04415e-05,86.92500700000001,65.52711389999999,0.5041071012616157,0.3
"(4, 2, 5)",7,chemistry_mmlu,9.181799999999e-05,92.53110889999999,89.32816220000001,0.47384815812110903,0.3
"(0, 2, 5)",6,computer science_mmlu,7.054519999999e-05,94.4612651,73.1848129,0.5854010131210089,0.5
"(2, 3, 0)",5,computer science_mmlu,6.20202e-05,91.047714,130.4917758,0.5823022227734327,0.5
"(2, 3, 5)",6,computer science_mmlu,8.0787e-05,83.9226582,67.4178744,0.5834841009229421,0.5
"(4, 3)",1,computer science_mmlu,4.7623e-05,43.3424037,45.846855700000006,0.5624193113297224,0.5
"(4, 4, 0)",5,computer science_mmlu,6.39006e-05,80.4274722,83.999396,0.5685097750276327,0.5
"(2, 1, 5)",7,health_mmlu,5.9355e-05,77.9823664,90.6183388,0.7680323898792267,0.7
"(2, 1, 5)",6,health_mmlu,5.7029e-05,73.7280708,53.341506100000004,0.7646215051412583,0.7
"(2, 4)",1,health_mmlu,4.0151e-05,45.6263718,47.2534305,0.8491858839988708,0.7
"(2, 4, 0)",5,health_mmlu,4.82148e-05,72.9941455,89.1908381,0.8491858839988708,0.7
"(4, 0, 2)",5,health_mmlu,4.5339e-05,71.7899532,89.449325,0.7632559776306153,0.7
"(0, 2, 5)",7,history_mmlu,8.947099999998001e-05,132.2614833,159.0520306,0.5500463653355837,0.5
"(1, 3, 5)",6,history_mmlu,9.474349999997e-05,111.6504701,90.8195965,0.5434885080903769,0.5
"(2, 1, 4)",5,history_mmlu,9.337699999999001e-05,127.3197676,150.9203446,0.5631662033498287,0.5
"(2, 3, 1)",5,history_mmlu,8.353899999998e-05,121.1716396,168.7993185,0.5450638301670552,0.5
"(2, 3, 5)",6,history_mmlu,0.00010017099999999999,111.221796,85.8361797,0.5484041884541512,0.5
"(0, 0, 4)",5,other_mmlu,3.12042e-05,58.354461900000004,75.4194571,0.7226064782589674,0.6
"(1, 1, 4)",5,other_mmlu,4.2044e-05,59.937997900000006,72.5096145,0.6499259807169437,0.6
"(1, 2, 4)",5,other_mmlu,4.371e-05,58.345746600000005,68.60722530000001,0.6238481298089027,0.6
"(3, 4)",1,other_mmlu,3.2507e-05,29.753801599999996,30.087123000000002,0.7199766967445612,0.6
"(3, 3, 0)",5,other_mmlu,3.3488399999999996e-05,48.1107489,71.2343383,0.7199766967445612,0.6
"(2, 2, 5)",6,philosophy_mmlu,5.7018e-05,68.74978039999999,47.502528,0.5970321677625179,0.5
"(2, 2, 5)",7,philosophy_mmlu,5.7357999999999995e-05,70.662436,79.228359,0.6076037637889385,0.5
"(2, 3, 3)",5,philosophy_mmlu,5.1176e-05,56.7139342,78.9581173,0.621919896453619,0.5
"(3,)",0,philosophy_mmlu,1.5222000000000001e-05,14.371588599999999,20.5794244,0.6358343929052352,0.5
"(4,)",0,philosophy_mmlu,2.0505e-05,18.0549012,12.965606,0.5941138528287411,0.5
"(1, 3, 5)",6,physics_mmlu,5.5569500000000004e-05,63.5529319,51.433848499999996,0.43301537446677685,0.3
"(3,)",0,physics_mmlu,1.5725999999999998e-05,15.1547632,21.7008928,0.4357176795601845,0.3
"(3, 1, 5)",6,physics_mmlu,5.5561e-05,63.602923999999994,51.49682299999999,0.4355425551533699,0.3
"(3, 0, 4)",5,physics_mmlu,4.69938e-05,62.990834799999995,77.8408522,0.3486554831266403,0.2
"(0,)",0,physics_mmlu,6.632399999999999e-06,23.5006079,36.1721563,0.36760733444243665,0.2
"(2, 0)",1,psychology_mmlu,2.29334e-05,49.6325644,71.7315113,0.9040028274059295,0.9
"(2, 3, 3)",5,psychology_mmlu,5.2453999999999996e-05,57.193802600000005,79.67583859999999,0.9228340774774552,0.9
"(3, 0, 5)",6,psychology_mmlu,5.0990400000000006e-05,63.112746300000005,53.6846189,0.9228340774774552,0.9
"(2, 4, 4)",5,psychology_mmlu,6.5455e-05,66.87036930000001,62.36154380000001,0.9040028274059295,0.9
"(3, 0, 5)",7,psychology_mmlu,5.2669e-05,67.0280631,80.6988015,0.9228340774774552,0.9
